Date : 2024-09-26 21:00:55
Directory : c:\xampp\htdocs\logistica
Total : 244 files,  25401 codes, 3481 comments, 3214 blanks, all 32096 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\logistica\public\lib\easing\easing.min.js                                               | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\assets\owl.carousel.css                                | CSS        |        132 |         23 |         16 |        171 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\assets\owl.carousel.min.css                            | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\assets\owl.theme.default.css                           | CSS        |         40 |          8 |          3 |         51 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\assets\owl.theme.default.min.css                       | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\assets\owl.theme.green.css                             | CSS        |         40 |          8 |          3 |         51 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\assets\owl.theme.green.min.css                         | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\owl.carousel.js                                        | JavaScript |      1,901 |        908 |        467 |      3,276 |
| c:\xampp\htdocs\logistica\public\lib\owlcarousel\owl.carousel.min.js                                    | JavaScript |          2 |          5 |          0 |          7 |
| c:\xampp\htdocs\logistica\public\lib\tempusdominus\css\tempusdominus-bootstrap-4.css                    | CSS        |        198 |          5 |          4 |        207 |
| c:\xampp\htdocs\logistica\public\lib\tempusdominus\css\tempusdominus-bootstrap-4.min.css                | CSS        |        198 |          5 |          4 |        207 |
| c:\xampp\htdocs\logistica\public\lib\tempusdominus\js\moment-timezone.min.js                            | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\logistica\public\lib\tempusdominus\js\moment.min.js                                     | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\logistica\public\lib\tempusdominus\js\tempusdominus-bootstrap-4.js                      | JavaScript |      2,381 |         60 |        339 |      2,780 |
| c:\xampp\htdocs\logistica\public\lib\tempusdominus\js\tempusdominus-bootstrap-4.min.js                  | JavaScript |          2 |          5 |          0 |          7 |
| c:\xampp\htdocs\logistica\public\lib\waypoints\links.php                                                | PHP        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\logistica\public\lib\waypoints\waypoints.min.js                                         | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap.scss                                                    | SCSS       |         24 |          1 |         21 |         46 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_accordion.scss                                    | SCSS       |         89 |          8 |         22 |        119 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_alert.scss                                        | SCSS       |         34 |         13 |         11 |         58 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_badge.scss                                        | SCSS       |         20 |          6 |          4 |         30 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_breadcrumb.scss                                   | SCSS       |         24 |          1 |          4 |         29 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_button-group.scss                                 | SCSS       |         90 |         23 |         27 |        140 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_buttons.scss                                      | SCSS       |         74 |         16 |         22 |        112 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_card.scss                                         | SCSS       |        153 |         27 |         36 |        216 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_carousel.scss                                     | SCSS       |        158 |         41 |         31 |        230 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_close.scss                                        | SCSS       |         30 |          5 |          6 |         41 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_containers.scss                                   | SCSS       |         27 |          8 |          7 |         42 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_dropdown.scss                                     | SCSS       |        186 |         19 |         36 |        241 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_forms.scss                                        | SCSS       |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_functions.scss                                    | SCSS       |        133 |         38 |         35 |        206 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_grid.scss                                         | SCSS       |         11 |          6 |          6 |         23 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_helpers.scss                                      | SCSS       |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_images.scss                                       | SCSS       |         22 |         13 |          8 |         43 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_list-group.scss                                   | SCSS       |        111 |         27 |         37 |        175 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_mixins.scss                                       | SCSS       |         25 |         10 |          8 |         43 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_modal.scss                                        | SCSS       |        160 |         35 |         34 |        229 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_nav.scss                                          | SCSS       |         96 |         20 |         24 |        140 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_navbar.scss                                       | SCSS       |        204 |         47 |         56 |        307 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_offcanvas.scss                                    | SCSS       |         68 |          0 |         10 |         78 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_pagination.scss                                   | SCSS       |         51 |          3 |         11 |         65 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_popover.scss                                      | SCSS       |        134 |          5 |         20 |        159 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_progress.scss                                     | SCSS       |         39 |          3 |          7 |         49 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_reboot.scss                                       | SCSS       |        334 |        146 |        142 |        622 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_root.scss                                         | SCSS       |         11 |          3 |          3 |         17 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_spinners.scss                                     | SCSS       |         49 |         12 |          9 |         70 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_tables.scss                                       | SCSS       |         78 |         43 |         30 |        151 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_toasts.scss                                       | SCSS       |         44 |          0 |          8 |         52 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_tooltip.scss                                      | SCSS       |         93 |          5 |         18 |        116 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_transitions.scss                                  | SCSS       |         16 |          2 |          4 |         22 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_type.scss                                         | SCSS       |         67 |         16 |         22 |        105 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_utilities.scss                                    | SCSS       |        551 |         41 |          3 |        595 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_variables.scss                                    | SCSS       |        955 |        231 |        279 |      1,465 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap-grid.scss                                | SCSS       |         50 |          8 |          8 |         66 |
