"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\logistica\resources\views\auth\login.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\logistica\resources\views\auth\passwords\confirm.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\xampp\htdocs\logistica\resources\views\auth\passwords\email.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\xampp\htdocs\logistica\resources\views\auth\passwords\reset.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 13, 66
"c:\xampp\htdocs\logistica\resources\views\auth\profile.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\xampp\htdocs\logistica\resources\views\auth\register.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\xampp\htdocs\logistica\resources\views\auth\verify.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\xampp\htdocs\logistica\resources\views\certificates\create.blade.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"c:\xampp\htdocs\logistica\resources\views\certificates\edit.blade.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"c:\xampp\htdocs\logistica\resources\views\certificates\index.blade.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"c:\xampp\htdocs\logistica\resources\views\certificates\show.blade.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\xampp\htdocs\logistica\resources\views\collectionsAccounts\create.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\xampp\htdocs\logistica\resources\views\collectionsAccounts\edit.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\xampp\htdocs\logistica\resources\views\collectionsAccounts\index.blade.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\xampp\htdocs\logistica\resources\views\collectionsAccounts\show.blade.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\xampp\htdocs\logistica\resources\views\emails\createUsers.blade.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\logistica\resources\views\emails\resetPassword.blade.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\logistica\resources\views\errors\encontro.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"c:\xampp\htdocs\logistica\resources\views\errors\exitosa.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\xampp\htdocs\logistica\resources\views\errors\middleware.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\xampp\htdocs\logistica\resources\views\events\create.blade.php", "PHP", 122, 0, 0, 0, 0, 0, 0, 0, 0, 3, 125
